Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Niger,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",68.37206362900001,53.1641320223,85.9849691294
Mauritania,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",101.047385913,79.462978701,130.081222884
Mali,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",72.1223639001,56.9446868171,90.6968154475
Liberia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",81.5543031396,66.2630089399,99.9170435386
Guinea-Bissau,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",88.315829967,71.04998282999999,108.964820007
The Gambia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",69.8331256318,56.2414454775,86.23348221
Guinea,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",88.451797051,71.909526281,110.395600432
Ghana,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",97.4443227197,79.3972997062,118.47161395299999
Cape Verde,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",157.901070591,128.572143904,194.503503889
Cote d'Ivoire,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",85.8703994144,69.1960117404,105.610573235
Burkina Faso,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",70.4488719824,57.515403104,86.407409476
Benin,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",82.5511997156,68.3181367777,100.991873429
Dominica,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",331.725395276,270.50294167100003,405.725935867
Dominican Republic,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",253.49952031100003,205.071769688,311.821309127
Antigua and Barbuda,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",275.14011691,224.593956961,335.72410272999997
Cuba,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",614.516470752,509.038737278,743.619012332
Grenada,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",300.452259986,245.59173952400002,367.02339996300003
Jamaica,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",365.01175319199996,297.744436935,450.37162665100004
Trinidad and Tobago,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",331.615843812,273.65766124099997,405.577804997
The Bahamas,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",292.813112534,237.94113149199998,357.970185105
Saint Lucia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",368.519345713,303.421198876,447.989526546
Saint Vincent and the Grenadines,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",278.18721679500004,230.731943873,337.704514322
Barbados,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",551.0285734429999,454.390223813,669.202054838
Haiti,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",154.59741439,123.13756499300001,193.920798714
Puerto Rico,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",614.3185399719999,506.94865341300005,757.618395514
"Virgin Islands, U.S.",2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",584.380926343,477.13988342799996,716.104842426
Panama,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",364.87316437,302.143939777,448.078902571
El Salvador,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",408.551038447,335.112054069,495.859460222
Nicaragua,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",266.605150175,216.70126258000002,325.507142471
Mexico,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",340.066235022,285.458834292,408.175228368
Honduras,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",270.271704192,209.07578542599998,342.33137216399996
Guatemala,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",231.556257714,180.645937099,296.27276229
Costa Rica,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",426.21219877600004,354.829278076,511.45644242699996
Belize,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",134.886097138,111.917068195,162.899188082
United States,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",766.07069814,682.8220537359999,857.535777866
Greenland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",200.34330127200002,152.60210841900002,255.23285181
Bermuda,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",353.728825555,285.417216227,439.752308152
Colombia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",325.916539104,268.415243608,390.896440505
Guyana,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",159.817903507,131.085534631,193.700738046
Ecuador,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",221.652323386,183.140060058,269.361018621
Paraguay,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",344.639769844,282.98328426899997,419.49036969699995
Suriname,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",272.235026393,224.29691876899997,329.094791729
Uruguay,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",567.8718015649999,469.228460636,682.5658969489999
Venezuela,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",274.91063981300005,220.78280715200003,338.030706612
Peru,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",226.546483843,181.531349363,282.174513498
Chile,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",390.486802318,304.57959501600004,500.50591795599996
Brazil,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",515.6490883270001,434.593449158,613.728113808
Bolivia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",247.90883146299998,195.41107611500001,310.666842777
Argentina,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",382.219481562,311.357170365,462.45934729400005
Turkmenistan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",123.44405332299999,102.818861267,149.16481355800002
Uzbekistan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",150.54904439999999,123.881118409,184.229391916
Tajikistan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",100.05383336000001,82.67775820909999,122.33306655999999
Kyrgyzstan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",145.439816953,120.161603405,176.766066201
Kazakhstan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",200.82226051700002,161.615021807,256.662968082
Mongolia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",122.987406725,98.424324465,149.686024542
Taiwan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",586.306680811,483.15924631799993,711.346236586
South Korea,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",847.4285444520001,654.293224071,1078.43295877
North Korea,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",340.806693448,280.610158812,410.604270016
Japan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1771.53803265,1507.52068095,2101.57170043
Myanmar,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",441.180426648,366.759530937,526.135090001
Cambodia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",236.698378116,198.611101344,284.170849866
Vietnam,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",504.070956831,422.937955426,603.498093984
Laos,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",191.444380588,156.205675363,230.784608854
Malaysia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",328.412090955,273.32077567,394.61119628800003
Thailand,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",585.784208508,482.15965779100003,714.437859992
Brunei,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",205.305644541,169.379139385,247.27333079000002
Philippines,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",224.78072113000002,182.672130756,273.695975976
Indonesia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",272.801582241,225.428461524,327.123314165
Singapore,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",629.4994627660001,507.04739271999995,776.615241563
Timor-Leste,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",238.19900877599997,186.762296131,298.353067269
Maldives,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",260.946331027,209.54860103500002,321.01898478600003
Nepal,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",154.237738668,125.314393534,189.148466547
Iran,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",289.796045003,233.426292497,354.657370269
Sri Lanka,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",418.820052508,337.648725061,520.833690425
Bhutan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",156.49345082600001,127.815384853,193.28459213
Bangladesh,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",141.53742462600002,115.818776593,174.412544873
Afghanistan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",145.663991604,118.727029643,179.46678366
Oman,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",138.465337441,114.84768125100001,165.729340057
Kuwait,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",112.06417072199999,85.4319902512,144.201389353
Palestine,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",147.54927414600002,121.730265981,179.233695089
Lebanon,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",471.059805291,382.917131151,572.147382799
Qatar,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",73.8395514704,55.108557780400005,97.4529244195
Saudi Arabia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",185.573314368,155.301758183,221.77717143
Turkey,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",582.970910266,473.877586715,708.659600693
Yemen,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",144.991077671,118.878579973,177.18283365599999
Iraq,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",166.208872957,131.85008290300001,204.145551974
Jordan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",209.893696744,163.647062926,265.18602816099997
Syria,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",241.654773584,200.34490449799998,291.26532601099996
Israel,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",573.226092593,464.59243317199997,701.365303764
Georgia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",511.001467327,417.58157976,634.908984764
Cyprus,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",751.657524261,631.9511556550001,905.448096798
Bahrain,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",142.764494701,113.47032890199999,177.797020423
Azerbaijan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",205.338334918,165.838140255,254.60591565500002
Armenia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",408.38067575599996,338.916786112,505.54764603300004
United Arab Emirates,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",65.6886848982,53.2423123546,81.6600358939
Moldova,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",339.719830176,278.390978417,421.145033474
Hungary,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",650.460561958,533.9809811939999,802.642171527
Poland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",579.911656654,477.21205642399997,704.795895292
Romania,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",631.39288528,514.2045257059999,777.407774228
Ukraine,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",540.4152198329999,419.31525998200004,702.249565622
Belarus,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",510.655551409,408.504000962,634.84079746
Czech Republic,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",607.91625889,505.31346926599997,736.638945375
Russian Federation,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",469.07366929500006,348.02973679,629.962761497
Slovakia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",497.323104063,404.07881074799997,619.052493448
Bulgaria,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",707.126724659,574.0202894070001,884.633474908
Norway,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",887.962625133,742.537049941,1070.4245806000001
Sweden,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",948.4484270020001,778.8029371939999,1146.32147607
Lithuania,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",701.142618333,575.068038642,858.886864911
Latvia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",706.1485623440001,572.8580217159999,867.3712823750001
Ireland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",634.158860829,523.365195353,770.573516993
Iceland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",735.089556004,610.500778953,886.7600882050001
United Kingdom,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",908.155714941,764.779920986,1080.5000966
Finland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1200.76611925,985.9525555649999,1474.27025022
Estonia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",695.2012032399999,562.2905014500001,858.2528168069999
Denmark,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",695.805459484,578.485663072,833.5702324380001
Macedonia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",414.341112985,341.85327441,505.965348618
Montenegro,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",485.000959776,392.606387965,589.996877649
Croatia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",733.7244722610001,593.499063968,910.213408656
Malta,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",824.7018686,661.7299231789999,1025.57258089
Slovenia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",716.005333147,574.184126684,872.660476194
Greece,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1184.7598475799998,980.4071642810001,1422.02241026
Italy,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1484.79996213,1250.56894597,1737.00601283
Portugal,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1080.18311102,898.6658630930001,1310.4466211899999
Serbia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",593.411572963,491.11282336799997,726.3445665620001
Spain,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1208.97164377,1034.53510178,1390.69853285
Bosnia and Herzegovina,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",557.3191357149999,446.596077716,696.1562822129999
Andorra,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1139.33647565,913.8918149430001,1411.89669942
Albania,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",414.21932625200003,333.731367659,512.112801059
Netherlands,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",795.870935343,678.760609789,934.229786046
Luxembourg,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",615.605129614,515.402432516,736.2784733149999
France,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",941.1669990170001,790.037155547,1125.79978065
Germany,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1003.9330405,820.311077707,1228.45715277
Switzerland,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",962.9642098170001,760.976541668,1200.21037065
Belgium,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",1104.30995657,918.416968754,1323.58480424
Austria,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",976.1510912890001,820.575313681,1161.23744063
New Zealand,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",615.753252803,510.395048084,749.479069501
Australia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",615.0159533039999,527.549999865,720.9192551049999
Papua New Guinea,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",123.106045154,97.54118064619999,151.832493676
Vanuatu,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",191.744290492,155.234262845,241.898302635
Solomon Islands,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",163.254513962,132.517885521,200.258007386
Fiji,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",237.72772880500003,188.981252487,298.813144554
Guam,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",413.56370290100006,337.171036228,499.38348668099997
Northern Mariana Islands,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",67.1589527608,54.9620216052,82.39891635869999
Marshall Islands,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",123.878409071,100.19471520299999,154.199957162
Federated States of Micronesia,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",243.851634348,191.690494073,303.798725126
Kiribati,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",236.883480289,193.57391184300002,293.83804207099996
Samoa,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",316.378402166,260.638390393,387.672514061
Tonga,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",347.26613504100004,285.750170902,427.105592175
American Samoa,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",140.751426774,113.748627914,170.594370024
Canada,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",590.201169595,508.304178542,673.471946337
Egypt,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",238.508174203,197.74725911599998,287.755999881
Sudan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",161.60401190599998,132.630965867,195.911836499
India,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",151.679048401,124.817391142,186.266048031
Pakistan,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",116.258556317,93.9498177686,143.24967158500002
China,2016,All ages,Both,Alzheimer disease and other dementias,"DALYs per 100,000",485.525228156,410.089093842,571.0315353670001
